nohup: ignoring input
<frozen runpy>:128: RuntimeWarning: 'worker.worker' found in sys.modules after import of package 'worker', but prior to execution of 'worker.worker'; this may result in unpredictable behaviour
2026-04-16 22:55:28,866 - worker.communication - INFO - Worker communication initialized for Master at 127.0.0.1:9999
2026-04-16 22:55:28,866 - worker.executor - INFO - Registered function: add
2026-04-16 22:55:28,866 - worker.executor - INFO - Registered function: multiply
2026-04-16 22:55:28,867 - worker.executor - INFO - Registered function: sleep
2026-04-16 22:55:28,867 - worker.core - INFO - Starting Worker worker-B...
2026-04-16 22:55:28,867 - worker.network - ERROR - Failed to connect to Master: [Errno 111] Connection refused
2026-04-16 22:55:28,868 - worker.network - INFO - Retrying connection in 1.0s...
2026-04-16 22:55:29,869 - worker.network - ERROR - Failed to connect to Master: [Errno 111] Connection refused
2026-04-16 22:55:29,869 - worker.network - INFO - Retrying connection in 2.0s...
2026-04-16 22:55:31,869 - worker.network - ERROR - Failed to connect to Master: [Errno 111] Connection refused
2026-04-16 22:55:31,873 - worker.network - INFO - Retrying connection in 4.0s...
2026-04-16 22:55:35,873 - worker.network - ERROR - Failed to connect to Master: [Errno 111] Connection refused
2026-04-16 22:55:35,874 - worker.network - INFO - Retrying connection in 8.0s...
2026-04-16 22:55:43,874 - worker.network - ERROR - Failed to connect to Master: [Errno 111] Connection refused
2026-04-16 22:55:43,874 - worker.network - INFO - Retrying connection in 16.0s...
2026-04-16 22:55:59,876 - worker.core - INFO - Worker entering main task loop.
